w_connect,w_block,w_center,win_rate_vs_random,wins_vs_random,losses_vs_random,draws_vs_random,avg_turns_win_vs_random,avg_turns_loss_vs_random,win_rate_vs_intuitive_gamer,wins_vs_intuitive_gamer,losses_vs_intuitive_gamer,draws_vs_intuitive_gamer,avg_turns_win_vs_intuitive_gamer,avg_turns_loss_vs_intuitive_gamer,win_rate_vs_mcts,wins_vs_mcts,losses_vs_mcts,draws_vs_mcts,avg_turns_win_vs_mcts,avg_turns_loss_vs_mcts
0.0,0.8,0.0,0.6,30,14,6,7.6,7.57,0.46,23,23,4,7.35,6.17,0.14,7,38,5,6.43,7.05
0.0,0.8,0.2,0.64,32,10,8,7.69,6.8,0.42,21,27,2,6.52,6.22,0.08,4,38,8,8.5,7.16
0.0,0.8,0.4,0.48,24,19,7,7.17,7.26,0.44,22,25,3,7.27,6.4,0.08,4,43,3,7.0,6.79
0.0,0.8,0.6,0.68,34,11,5,7.24,7.45,0.32,16,31,3,7.75,6.52,0.14,7,36,7,6.14,6.89
0.0,0.8,0.8,0.62,31,16,3,7.13,7.25,0.38,19,27,4,7.32,6.44,0.08,4,39,7,7.5,6.77
0.0,0.8,1.0,0.6,30,14,6,7.33,7.14,0.34,17,28,5,8.18,6.36,0.04,2,38,10,7.0,6.79
0.0,0.8,1.2,0.52,26,19,5,7.23,7.37,0.4,20,24,6,7.1,6.42,0.06,3,38,9,5.67,6.53
0.0,0.8,1.4,0.68,34,11,5,7.41,7.27,0.36,18,27,5,7.44,6.44,0.1,5,33,12,5.8,6.91
0.0,0.8,1.6,0.66,33,13,4,7.06,7.38,0.56,28,20,2,7.43,6.4,0.1,5,36,9,6.6,7.06
0.0,0.8,1.8,0.62,31,11,8,7.0,7.64,0.32,16,28,6,7.38,6.57,0.12,6,31,13,6.0,6.97
0.0,0.8,2.0,0.74,37,7,6,7.16,6.86,0.44,22,22,6,7.64,6.55,0.08,4,38,8,7.5,6.79
0.0,1.0,0.0,0.58,29,15,6,7.55,7.33,0.26,13,32,5,6.69,6.31,0.0,0,42,8,0.0,6.81
0.0,1.0,0.2,0.58,29,15,6,7.48,7.47,0.3,15,31,4,7.4,6.52,0.12,6,33,11,6.67,6.85
0.0,1.0,0.4,0.72,36,9,5,7.44,6.89,0.36,18,29,3,7.22,6.69,0.06,3,37,10,5.67,6.86
0.0,1.0,0.6,0.62,31,13,6,7.19,7.54,0.34,17,30,3,7.94,6.47,0.1,5,39,6,7.4,6.67
0.0,1.0,0.8,0.54,27,12,11,7.3,7.5,0.48,24,23,3,7.5,6.35,0.1,5,31,14,7.4,6.77
0.0,1.0,1.0,0.58,29,12,9,6.72,7.17,0.44,22,24,4,7.18,6.83,0.14,7,39,4,6.43,7.28
0.0,1.0,1.2,0.5,25,22,3,7.0,7.55,0.4,20,26,4,7.6,6.54,0.12,6,34,10,6.0,6.82
0.0,1.0,1.4,0.6,30,16,4,7.33,7.38,0.4,20,22,8,8.0,6.82,0.08,4,38,8,7.0,6.58
0.0,1.0,1.6,0.72,36,7,7,6.94,7.71,0.42,21,26,3,7.29,7.0,0.1,5,37,8,7.4,6.81
0.0,1.0,1.8,0.64,32,11,7,7.25,7.82,0.48,24,22,4,7.5,6.55,0.12,6,36,8,7.0,6.83
0.0,1.0,2.0,0.7,35,9,6,6.89,7.33,0.4,20,25,5,7.7,6.64,0.04,2,40,8,6.0,6.8
0.0,1.2,0.0,0.48,24,21,5,7.42,7.52,0.48,24,24,2,7.67,6.25,0.04,2,40,8,6.0,6.7
0.0,1.2,0.2,0.62,31,12,7,7.58,7.5,0.32,16,29,5,7.38,6.21,0.04,2,42,6,6.0,6.76
0.0,1.2,0.4,0.62,31,14,5,7.39,7.57,0.36,18,29,3,8.11,6.48,0.04,2,39,9,6.0,6.97
0.0,1.2,0.6,0.48,24,20,6,7.75,7.1,0.38,19,27,4,7.21,6.3,0.12,6,32,12,6.33,7.06
0.0,1.2,0.8,0.5,25,19,6,7.08,7.47,0.38,19,26,5,7.42,6.92,0.08,4,40,6,6.5,7.05
0.0,1.2,1.0,0.64,32,12,6,7.62,7.33,0.48,24,21,5,7.58,6.38,0.06,3,41,6,7.0,6.73
0.0,1.2,1.2,0.54,27,17,6,6.78,7.53,0.34,17,31,2,7.71,6.39,0.08,4,37,9,6.5,6.76
0.0,1.2,1.4,0.68,34,12,4,7.65,7.33,0.42,21,26,3,7.76,6.46,0.06,3,36,11,7.67,6.78
0.0,1.2,1.6,0.66,33,13,4,7.42,8.0,0.46,23,24,3,7.43,6.5,0.06,3,42,5,7.67,7.0
0.0,1.2,1.8,0.7,35,13,2,7.06,7.38,0.32,16,29,5,7.88,6.62,0.12,6,38,6,6.67,7.11
0.0,1.2,2.0,0.66,33,9,8,7.18,7.56,0.38,19,25,6,7.32,6.72,0.14,7,32,11,7.57,6.94
0.0,1.4,0.0,0.58,29,15,6,7.21,7.73,0.38,19,27,4,7.11,6.3,0.1,5,42,3,6.6,7.0
0.0,1.4,0.2,0.56,28,19,3,7.5,7.47,0.34,17,27,6,7.35,6.52,0.08,4,41,5,6.0,6.78
